time,COMPEMNT,,
0,6.63857,53.13857,53.13857
0.01,6.63857,53.13857,53.13857
0.02,6.63857,53.13857,53.13857
0.03,6.63857,53.13857,53.13857
0.04,6.63857,53.13857,53.13857
0.05,6.63857,53.13857,53.13857
0.06,6.63857,53.13857,53.13857
0.07,6.63857,53.13857,53.13857
0.08,6.63857,53.13857,53.13857
0.09,6.63857,53.13857,53.13857
0.1,6.63857,53.13857,53.13857
0.11,6.57599,53.07599,53.07599
0.12,6.57599,53.07599,53.07599
0.13,6.57599,53.07599,53.07599
0.14,6.57599,53.07599,53.07599
0.15,6.57599,53.07599,53.07599
0.16,6.57599,53.07599,53.07599
0.17,6.57599,53.07599,53.07599
0.18,6.57599,53.07599,53.07599
0.19,6.57599,53.07599,53.07599
0.2,6.57599,53.07599,53.07599
0.21,6.64343,53.14343,53.14343
0.22,6.64343,53.14343,53.14343
0.23,6.64343,53.14343,53.14343
0.24,6.64343,53.14343,53.14343
0.25,6.64343,53.14343,53.14343
0.26,6.64343,53.14343,53.14343
0.27,6.64343,53.14343,53.14343
0.28,6.64343,53.14343,53.14343
0.29,6.64343,53.14343,53.14343
0.3,6.64343,53.14343,53.14343
0.31,6.63921,53.13921,53.13921
0.32,6.63921,53.13921,53.13921
0.33,6.63921,53.13921,53.13921
0.34,6.63921,53.13921,53.13921
0.35,6.63921,53.13921,53.13921
0.36,6.63921,53.13921,53.13921
0.37,6.63921,53.13921,53.13921
0.38,6.63921,53.13921,53.13921
0.39,6.63921,53.13921,53.13921
0.4,6.63921,53.13921,53.13921
0.41,6.66263,53.16263,53.16263
0.42,6.66263,53.16263,53.16263
0.43,6.66263,53.16263,53.16263
0.44,6.66263,53.16263,53.16263
0.45,6.66263,53.16263,53.16263
0.46,6.66263,53.16263,53.16263
0.47,6.66263,53.16263,53.16263
0.48,6.66263,53.16263,53.16263
0.49,6.66263,53.16263,53.16263
0.5,6.66263,53.16263,53.16263
0.51,6.55585,53.05585,53.05585
0.52,6.55585,53.05585,53.05585
0.53,6.55585,53.05585,53.05585
0.54,6.55585,53.05585,53.05585
0.55,6.55585,53.05585,53.05585
0.56,6.55585,53.05585,53.05585
0.57,6.55585,53.05585,53.05585
0.58,6.55585,53.05585,53.05585
0.59,6.55585,53.05585,53.05585
0.6,6.55585,53.05585,53.05585
0.61,6.60755,53.10755,53.10755
0.62,6.60755,53.10755,53.10755
0.63,6.60755,53.10755,53.10755
0.64,6.60755,53.10755,53.10755
0.65,6.60755,53.10755,53.10755
0.66,6.60755,53.10755,53.10755
0.67,6.60755,53.10755,53.10755
0.68,6.60755,53.10755,53.10755
0.69,6.60755,53.10755,53.10755
0.7,6.60755,53.10755,53.10755
0.71,6.65645,53.15645,53.15645
0.72,6.65645,53.15645,53.15645
0.73,6.65645,53.15645,53.15645
0.74,6.65645,53.15645,53.15645
0.75,6.65645,53.15645,53.15645
0.76,6.65645,53.15645,53.15645
0.77,6.65645,53.15645,53.15645
0.78,6.65645,53.15645,53.15645
0.79,6.65645,53.15645,53.15645
0.8,6.65645,53.15645,53.15645
0.81,6.61559,53.11559,53.11559
0.82,6.61559,53.11559,53.11559
0.83,6.61559,53.11559,53.11559
0.84,6.61559,53.11559,53.11559
0.85,6.61559,53.11559,53.11559
0.86,6.61559,53.11559,53.11559
0.87,6.61559,53.11559,53.11559
0.88,6.61559,53.11559,53.11559
0.89,6.61559,53.11559,53.11559
0.9,6.61559,53.11559,53.11559
0.91,6.58048,53.08048,53.08048
0.92,6.58048,53.08048,53.08048
0.93,6.58048,53.08048,53.08048
0.94,6.58048,53.08048,53.08048
0.95,6.58048,53.08048,53.08048
0.96,6.58048,53.08048,53.08048
0.97,6.58048,53.08048,53.08048
0.98,6.58048,53.08048,53.08048
0.99,6.58048,53.08048,53.08048
1,6.58048,53.08048,53.08048
1.01,6.59733,53.09733,53.09733
1.02,6.59733,53.09733,53.09733
1.03,6.59733,53.09733,53.09733
1.04,6.59733,53.09733,53.09733
1.05,6.59733,53.09733,53.09733
1.06,6.59733,53.09733,53.09733
1.07,6.59733,53.09733,53.09733
1.08,6.59733,53.09733,53.09733
1.09,6.59733,53.09733,53.09733
1.1,6.59733,53.09733,53.09733
1.11,6.55006,53.05006,53.05006
1.12,6.55006,53.05006,53.05006
1.13,6.55006,53.05006,53.05006
1.14,6.55006,53.05006,53.05006
1.15,6.55006,53.05006,53.05006
